nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Środowiskowy Dom Samopomocy Sadowa,,Powiat warszawski zachodni,"ul. Jagodowa 2,
									05-092 
									Sadowa",Dla osób przewlekle psychicznie chorych (Środowiskowy Dom Samopomocy),20,27802/KR - 2023,313
Środowiskowy Dom Samopomocy Ruski Bród,,Powiat przysuski,"ul. Główna 51,
									26-400 
									Ruski Bród",Dla osób przewlekle psychicznie chorych  i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),35,27621/KR - 2023,314
Środowiskowy Dom Samopomocy Radom,,Powiat radomski,"ul. Dzierzkowska 9, ,
									26-600 
									Radom",Dla osób przewlekle psychicznie chorych  i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),50,27633/KR - 2023,316
Środowiskowy Dom Samopomocy Pułtusk,,Powiat pułtuski,"ul. Białowiejska 5,
									06-100 
									Pułtusk",Dla osób przewlekle psychicznie chorych  i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),60,27628/KR - 2023,316
Środowiskowy Dom Samopomocy Podkońce,,Powiat lipski,"ul. Podkońce 99,
									27-353 
									Podkońce",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),40,27406/KR - 2023,319
Środowiskowy Dom Samopomocy Płońsk,,Powiat płoński,"ul. Sienkiewicza 8,
									09-100 
									Płońsk",Dla osób przewlekle psychicznie chorych  i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),37,27589/KR - 2023,319
Środowiskowy Dom Samopomocy Płock,,Płock,"ul. Mickiewicza 7A,
									09-402 
									Płock",Dla osób przewlekle psychicznie chorych  i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),55,27585/KR - 2023,319
Środowiskowy Dom Samopomocy Otwock,,Powiat otwocki,"ul. Pułaskiego 5a,
									05-400 
									Otwock",Dla osób przewlekle psychicznie chorych (Środowiskowy Dom Samopomocy),40,27562/KR - 2023,321
Środowiskowy Dom Samopomocy Ostrowy,,Powiat sierpecki,"ul. Ostrowy 2,
									09-213 
									Ostrowy",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),29,27671/KR - 2023,321
Środowiskowy Dom Samopomocy Ostrów Mazowiecka,,Powiat ostrowski,"ul. Warchalskiego 3,
									07-300 
									Ostrów Mazowiecka",Dla osób przewlekle psychicznie chorych  i dla osób  z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),45,27545/KR - 2023,322
Środowiskowy Dom Samopomocy Ostrołęka,,Powiat ostrołęcki,"ul. Farna 21,
									07-410 
									Ostrołęka",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),60,27539/KR - 2023,322
Środowiskowy Dom Samopomocy Odrzywół,,Powiat przysuski,"ul. Myślakowice 1,
									26-425 
									Odrzywół",Dla osób przewlekle psychicznie chorych  i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),35,27620/KR - 2023,324
Środowiskowy Dom Samopomocy Nowy Dwór Mazowiecki,,Powiat nowodworski,"ul. Chemików 6,
									05-100 
									Nowy Dwór Mazowiecki",Dla osób przewlekle psychicznie chorych  i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),40,27492/KR - 2023,325
Środowiskowy Dom Samopomocy Nowe Litewniki,,Powiat łosicki,"Nowe Litewniki 40,
									08-221 
									Nowe Litewniki",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),50,27436/KR - 2023,325
Środowiskowy Dom Samopomocy Nowa Wieś,,Powiat kozienicki,"Nowa Wieś 81,
									26-900",Dla osób przewlekle psychicznie chorych oraz osób ze spektrum autyzmu lub niepełnosprawnościami sprzężonymi (Środowiskowy Dom Samopomocy),30,27347/KR - 2023,325
Środowiskowy Dom Samopomocy Myszyniec,,Powiat ostrołęcki,"ul. Białusny Lasek 19,
									07-430 
									Myszyniec",Dla osób przewlekle psychicznie chorych  i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),25,27538/KR - 2023,326
Środowiskowy Dom Samopomocy Mińsk Mazowiecki,,Powiat miński,"ul. Kościelna 18,
									05-300 
									Mińsk Mazowiecki",Dla osób przewlekle psychicznie chorych (Środowiskowy Dom Samopomocy),30,27464/KR - 2023,328
Środowiskowy Dom Samopomocy Miętne,,Powiat garwoliński,"ul. Główna 45,
									08-400 
									Miętne",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),35,27190/KR - 2023,328
Środowiskowy Dom Samopomocy Mała Wieś,,Płock,"ul. Stare Święcice 22,
									09-460 
									Mała Wieś",Dla osób przewlekle psychicznie chorych  i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),30,27584/KR - 2023,329
Środowiskowy Dom Samopomocy Maków Mazowiecki,,Powiat makowski,"ul. Duńskiego Czerwonego Krzyża 3A,
									06-200 
									Maków Mazowiecki",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),50,27446/KR - 2023,330
Środowiskowy Dom Samopomocy Łychowska Wola,,Powiat grójecki,"ul. Łychowska Wola 24,
									05-604 
									Łychowska Wola",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),32,27247/KR - 2023,330
Środowiskowy Dom Samopomocy Łubiec,,Powiat warszawski zachodni,"ul. Łubiec 45,
									05-084 
									Łubiec",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),60,27801/KR - 2023,330
Środowiskowy Dom Samopomocy Lipsko,,Powiat lipski,"ul. Kilińskiego 13,
									27-300
									 Lipsko",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),30,27404/KR - 2023,331
Środowiskowy Dom Samopomocy Karczew,,Powiat otwocki,"ul. Gen. Maczka 2,
									05-480 
									Karczew",Dla osób przewlekle psychicznie chorych  i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),22,27561/KR - 2023,337
Środowiskowy Dom Samopomocy Jedlanka 10,,Powiat radomski,"ul. Jedlanka 10,
									26-660 
									Jedlińsk",Dla osób przewlekle psychicznie chorych  i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),35,27631/KR - 2023,339
Środowiskowy Dom Samopomocy Gostynin,,Powiat gostyniński,"ul. Ozdowskiego 1a,
									09-500 
									Gostynin","Dla osób przewlekle psychicznie chorych,  z niepełnosprawnością intelektualną oraz  wykazujących inne przewlekłe zaburzenia czynności psychicznych (Środowiskowy Dom Samopomocy)",45,27240/KR - 2023,342
Środowiskowy Dom Samopomocy Glinianka,,Powiat otwocki,"ul. Napoleońska 53 A,
									05-408 
									Glinianka",Dla osób przewlekle psychicznie chorych (Środowiskowy Dom Samopomocy),25,27560/KR - 2023,343
Środowiskowy Dom Samopomocy Dzielnicy Ursynów Warszawa,,Powiat warszawski zachodni,"ul. Pachnąca 95,
									02-790 
									Warszawa",Dla osób przewlekle psychicznie chorych (Środowiskowy Dom Samopomocy),34,27811/KR - 2023,346
Środowiskowy Dom Samopomocy dla Osób z Zaburzeniami Psychicznymi przy OPS Ursus Warszawa,,Powiat warszawski zachodni,"ul. Prawnicza 54,
									02-495 
									Warszawa",Dla osób przewlekle psychicznie chorych (Środowiskowy Dom Samopomocy),40,27809/KR - 2023,347
Środowiskowy Dom Samopomocy dla Osób z Zaburzeniami Psychicznymi Dzielnicy Targówek Warszawa,,Powiat warszawski zachodni,"ul. Św. Wincentego 85,
									03-291 
									Warszawa",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),62,27813/KR - 2023,347
Środowiskowy Dom Samopomocy dla Osób z Zaburzeniami Psychicznymi Dzielnicy Ochota Warszawa,,Powiat warszawski zachodni,"ul. Grójecka 109,
									02-120 
									Warszawa",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),60,27808/KR - 2023,347
Środowiskowy Dom Samopomocy dla Osób z upośledzeniem umysłowym Dzielnicy Żoliborz Warszawa,,Powiat warszawski zachodni,"ul. Rydygiera 3,
									01-793 
									Warszawa",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),60,27806/KR - 2023,347
Środowiskowy Dom Samopomocy dla Osób z upośledzeniem umysłowym Dzielnicy Bielany Warszawa,,Powiat warszawski zachodni,"ul. Grębałowska 14,
									01-808 
									Warszawa",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),80,27807/KR - 2023,347
Środowiskowy Dom Samopomocy Czubin,,Powiat pruszkowski,"ul. Czubin 13,
									05-840 
									Czubin",Dla osób przewlekle psychicznie chorych  i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),30,27609/KR - 2023,349
Środowiskowy Dom Samopomocy Ciechanów,,Powiat ciechanowski,"ul. Niechodzka 14o,
									06-400 
									Ciechanów",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),40,27160/KR - 2023,350
Dom Pomocy Społecznej  Bliżyn,,Powiat skarżyński,"ul. Staszica 16 (blok B),
									26-120
									Bliżyn",Dla osób przewlekle psychicznie chorych (Prywatny),99,28058/KR - 2025,362
Zakład opiekuńczo – leczniczy –  całodobowy oddział psychiatryczny w Lubiążu,,Powiat wołowski,"Adama Mickiewicza 1,
									56-100
									Lubiąż",Opieka długoterminowa dla przewlekle chorych psychicznie (Zakład Opiekuńczo - Leczniczy),120,28088/KR - 2026,365
Zakład Opiekuńczo-Leczniczy-Psychiatryczny III,,Powiat lubelski,"Abramowicka 2,
									20-442
									Lublin",Opieka długoterminowa dla psychicznie chorych (Zakład Opiekuńczo - Leczniczy),40,28119/KR - 2026,368
Zakład Opiekuńczo-Leczniczy Psychiatryczny II,,Powiat lubelski,"Abramowicka 2,
									20-442
									Lublin",Opieka długoterminowa dla psychicznie chorych (Zakład Opiekuńczo - Leczniczy),72,28120/KR - 2026,368
Zakład Opiekuńczo – Leczniczy Psychiatryczny IV,,Powiat lubelski,"Abramowicka 2,
									20-442
									Lublin",Opieka długoterminowa dla psychicznie chorych (Zakład Opiekuńczo - Leczniczy),41,28122/KR - 2026,368
Zakład Opiekuńczo-Leczniczy Psychiatryczny,,Powiat chełmski,"Szpitalna 53,
									22-100
									Chełm",Opieka długoterminowa dla psychicznie chorych (Zakład Opiekuńczo - Leczniczy),20,28129/KR - 2026,369
Zakład opiekuńczo-leczniczy,,Powiat rzeszowski,"Turza 242,
									36-050
									Turza",Opieka długoterminowa dla przewlekle i psychicznie chorych (Zakład Opiekuńczo - Leczniczy),180,28204/KR - 2026,377
Zakład Opiekuńczo-Leczniczy Psychiatryczny,,Powiat lipnowski,"Nieszawska 5,
									87-600
									Lipno",Opieka długoterminowa dla przewlekle chorych i chorych psychicznie (Zakład Opiekuńczo - Leczniczy),120,28213/KR - 2026,378
Oddział Opiekuńczo-Leczniczy Psychiatryczny,,Powiat lubelski,"Uniszowice 57G,
									21-030
									Uniszowice",Opieka długoterminowa dla psychicznie chorych (Zakład Opiekuńczo - Leczniczy),26,28228/KR - 2026,380
Zakład/Oddział Dzienny Opiekuńczo-Leczniczy/Pielęgnacyjno-Opiekuńczy Psychiatryczny,,Bydgoszcz,"Adama Naruszewicza 11,
									85-230
									Bydgoszcz",Opieka długoterminowa dla psychicznie chorych (Zakład Opiekuńczo - Leczniczy),10,28231/KR - 2026,380
