nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Dom Pomocy Społecznej Ośrodek Rehabilitacji i Opieki Psychiatrycznej,,Powiat prudnicki,"Zwycięstwa 34, Racławice Śląskie,
									48-250
									Głogówek",dla osób przewlekle psychicznie chorych K i M (Publiczny),62,948/KR - 2021,131
Dom Pomocy Społecznej w Jordanowie,,Powiat świebodziński,"Jordanowo 3,
									66-203
									Jordanowo",dla osób w osób przewlekle psychicznie chorych (Publiczny),82,966/KR - 2021,133
Dom Pomocy Społecznej w Kamieniu,,Powiat gorzowski,"Stawna 40,
									66-460
									Witnica",dla osób przewlekle psychicznie chorych (Publiczny),103,967/KR - 2021,133
Dom Pomocy Społecznej w Szczawnie,,Powiat krośnieński,"Parkowa 2,
									66-615
									Dąbie Lubuskie gm. Krosno Odrzaskie",dla mężczyzn przewlekle psychicznie chorych (Publiczny),99,969/KR - 2021,133
Dom Pomocy Społecznej Nr 2 Gorzów Wielkopolski,,Gorzów Wielkopolski,"Franciszka Walczaka 42,
									66-400
									Gorzów Wielkopolski Filia: Franciszka Walczaka 27,
									66-400
									Gorzów Wielkopolski",Dla osób przewlekle psychicznie chorych Dla osób przewlekle psychicznie chorych (Publiczny),90,972/KR - 2021,134
Dom Pomocy Społecznej Dom Leśna Polana w Jasieńcu,,Powiat międzyrzecki,"Jasieniec 69,
									66-320
									Trzciel",Dla osób przewlekle psychicznie chorych (Publiczny),61,981/KR - 2021,135
Dom Pomocy Społecznej w Glińsku,,Powiat świebodziński,"Glińsk 51,
									66-200
									Świebodzin",Dla kobiet przewlekle psychicznie chorych (Publiczny),100,986/KR - 2021,135
Dom Pomocy Społecznej w Kostomłotach,,Powiat bialski,"Kostomłoty 10 ,
									21-509 
									Kodeń",dla osób przewlekle psychicznie chorych (Publiczny),48,1007/KR - 2021,137
Dom Pomocy Społecznej w Konstantynowie,,Powiat bialski,"Kardynała Stefana Wyszyńskiego 6-12,
									21-543
									Konstantynów",dla osób przewlekle psychicznie chorych (Publiczny),115,1008/KR - 2021,137
Dom Pomocy Społecznej w Teodorówce,,Powiat biłgorajski,"Teodorówka 1 ,
									23-400 
									Biłgoraj Filia ""Dom Rodzinny"": ul. Zielona 95,
									23-400 
									Biłgoraj Filia: Osada 5, Długi Kąt,
									23-460
									Józefów","dla osób dorosłych niepełnosprawnych intelektualnie, dla dzieci i młodzieży niepełnosprawnych intelektualnie, dla osób przewlekle psychicznie chorych dla osób dorosłych niepełnosprawnych intelektualnie dla osób przewlekle psychicznie chorych (Publiczny)",195,1011/KR - 2021,137
Dom Pomocy Społecznej w Bończy,,Powiat krasnostawski,"Bończa-Kolonia 71,
									22-310
									Kraśniczyn",dla osób przewlekle psychicznie chorych (dla mężczyzn) (Publiczny),90,1021/KR - 2021,138
